"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag","pc_score","PC_tier","nonecon_tier","econ_tier"
"232","journal of the association for consumer research",NA,1,0.084,1,NA,NA,NA,NA,0,-1.5310690895131,"Tier III",NA,NA
"233","managerial and decision economics","Tier III",1,1.395,11,0.394,36,NA,NA,1,1.85585665092035,"Tier II",NA,NA
"234","population research and policy review","Tier III",1,0.708,7,0.914,38,1.211,0.00204,0,2.18355859949923,"Tier II",NA,NA
"235","review of world economics","Tier II",1,6.702,23,0.733,41,0.967,0.00155,1,3.14499098375629,"Tier I",NA,NA
"236","social security bulletin","Tier III",1,NA,NA,0.416,18,NA,NA,0,-0.811748570791884,"Tier III",NA,NA
"237","telecommunications policy",NA,1,3.242,15,0.732,54,1.526,0.00227,0,3.0431225893652,"Tier II",NA,NA
"238","international food and agribusiness management review","Tier III",0,NA,NA,NA,NA,NA,NA,NA,-1.64872310768399,NA,"Tier III","Tier III"
"239","journal of international economic agreements","Tier III",0,NA,NA,NA,NA,NA,NA,NA,-1.76962186318394,NA,"Tier III","Tier III"
"241","natural resource modelling","Tier III",0,NA,NA,0.286,12,NA,NA,NA,-1.55849857275299,NA,"Tier III","Tier III"
"242","quarterly journal of economics",NA,0,55.67,83,24.769,205,6.662,0.05107,1,7.40077891435323,NA,"Tier I","Tier I"
"243","journal of economic literature",NA,0,45.489,49,9.095,132,5.22,0.01818,1,6.30918902019973,NA,"Tier I","Tier I"
"244","american economic journal: macroeconomics",NA,0,31.608,49,12.517,25,NA,NA,1,5.43520342622505,NA,"Tier I","Tier I"
"245","econometrica",NA,0,29.6,54,14.396,152,3.379,0.04705,1,6.51462308625303,NA,"Tier I","Tier I"
"246","journal of political economy",NA,0,27.708,51,13.455,151,3.923,0.02468,1,6.36634313427744,NA,"Tier I","Tier I"
"247","american economic journal: applied economics",NA,0,26.862,56,10.319,49,NA,NA,1,5.68448567630523,NA,"Tier I","Tier I"
"248","review of economic studies",NA,0,26.82,58,14.871,112,4.03,0.03601,1,6.44302742377336,NA,"Tier I","Tier I"
"249","journal of finance",NA,0,26.537,65,20.973,233,6.043,0.05656,1,7.05495167954748,NA,"Tier I","Tier I"
"250","economic policy",NA,0,24.829,32,2.709,58,2.844,0.00352,1,4.73814337545915,NA,"Tier I","Tier I"
"251","journal of the european economic association",NA,0,24.007,48,7.684,66,2.758,0.02048,1,5.68691400029541,NA,"Tier I","Tier I"
"252","review of financial studies",NA,0,22.322,61,12.989,135,3.689,0.05173,1,6.46149543443138,NA,"Tier I","Tier I"
"253","brookings papers on economic activity",NA,0,21.211,24,2.85,64,1.593,0.00795,1,4.59581339441309,NA,"Tier I","Tier I"
"254","journal of monetary economics",NA,0,20.564,54,7.148,103,2.11,0.02077,1,5.73130796021089,NA,"Tier I","Tier I"
"255","journal of financial economics",NA,0,19.016,65,13.218,194,4.505,0.06444,1,6.66462629588029,NA,"Tier I","Tier I"
"256","annual review of economics",NA,0,18.646,34,5.716,29,2.161,0.01006,1,4.89001235154796,NA,"Tier I","Tier I"
"257","foundations and trends(r) in econometrics",NA,0,18.313,6,NA,NA,NA,NA,NA,2.85696840648451,NA,"Tier II","Tier II"
"258","economic journal",NA,0,17.84,51,3.993,126,2.608,0.02251,1,5.57315578737468,NA,"Tier I","Tier I"
"259","journal of international economics",NA,0,16.789,56,4.657,108,2.042,0.01953,1,5.51667870798585,NA,"Tier I","Tier I"
"260","imf economic review",NA,0,16.783,31,2.342,53,1,0.00467,1,4.28107393108922,NA,"Tier I","Tier I"
"261","quarterly review",NA,0,16.75,4,NA,NA,NA,NA,NA,2.35918096473846,NA,"Tier II","Tier II"
"262","american economic journal: economic policy",NA,0,16.6,38,8.368,28,NA,NA,1,4.99453910379917,NA,"Tier I","Tier I"
"263","annals of economics and finance",NA,0,16.374,19,0.252,11,0.59,0.00059,1,2.14417107005935,NA,"Tier II","Tier II"
"264","journal of human resources",NA,0,15.997,36,4.628,82,4.047,0.00963,1,5.28366434141943,NA,"Tier I","Tier I"
"265","journal of labor economics",NA,0,15.445,37,7.076,84,2.887,0.00953,1,5.36323558116125,NA,"Tier I","Tier I"
"266","journal of financial intermediation",NA,0,14.703,30,2.961,59,1.627,0.00339,1,4.44018860986519,NA,"Tier I","Tier I"
"267","journal of applied econometrics",NA,0,13.565,38,2.832,76,2.117,0.00948,1,4.85343591345587,NA,"Tier I","Tier I"
"268","bis quarterly review",NA,0,13.321,24,NA,NA,NA,NA,NA,4.14342499347589,NA,"Tier I","Tier I"
"269","journal of money",NA,0,13.18,40,NA,NA,NA,NA,NA,4.75960929495459,NA,"Tier I","Tier I"
"270","review of economic dynamics",NA,0,13.121,35,3.036,50,1.053,0.00699,1,4.44673018647882,NA,"Tier I","Tier I"
"271","journal of public economics",NA,0,12.761,49,3.071,107,1.538,0.02264,1,5.15807461578407,NA,"Tier I","Tier I"
"272","international economic review",NA,0,12.151,28,3.926,71,1.773,0.00897,1,4.73170326027361,NA,"Tier I","Tier I"
"273","international journal of central banking",NA,0,11.737,32,1.671,17,0.975,0.0037,1,3.66845153716699,NA,"Tier I","Tier I"
"274","journal of business and economic statistics",NA,0,11.636,36,2.577,77,1.658,0.01192,1,4.72516881655075,NA,"Tier I","Tier I"
"275","experimental economics",NA,0,10.759,25,2.022,40,2.391,0.00716,1,4.25305276743872,NA,"Tier I","Tier I"
"276","quantitative economics",NA,0,10.633,23,3.742,15,1.614,0.00537,1,3.99011337620703,NA,"Tier I","Tier I"
"277","european financial management",NA,0,10.589,7,0.974,35,1.236,0.00164,1,2.86772831260314,NA,"Tier II","Tier II"
"278","journal of economic surveys",NA,0,10.528,34,1.724,72,2.1,0.00491,1,4.39670300446772,NA,"Tier I","Tier I"
"279","annual review of financial economics",NA,0,9.87,18,4.501,16,1.415,0.00398,1,3.8575790124007,NA,"Tier I","Tier I"
"280","rand journal of economics",NA,0,9.84,30,3.34,87,1.465,0.00809,1,4.63012568661292,NA,"Tier I","Tier I"
"281","european economic review",NA,0,9.464,41,2.009,103,1.259,0.01276,1,4.65164807193341,NA,"Tier I","Tier I"
"282","journal of econometrics",NA,0,9.389,43,3.102,122,1.633,0.02761,1,5.11484297335609,NA,"Tier I","Tier I"
"283","oxford bulletin of economics and statistics",NA,0,9.24,24,1.167,57,1.138,0.00335,1,3.72576176792787,NA,"Tier I","Tier I"
"284","world bank research observer",NA,0,9.156,17,1.541,51,2.15,0.00127,1,3.64875911873773,NA,"Tier I","Tier I"
"285","journal of international money and finance",NA,0,9.11,42,1.813,72,1.853,0.00879,1,4.54631542041372,NA,"Tier I","Tier I"
"286","labour economics",NA,0,8.851,33,1.151,57,1.036,0.00646,1,3.94876438120111,NA,"Tier I","Tier I"
"287","journal of international business studies",NA,0,8.769,32,4.848,148,5.869,0.00849,1,5.35404215547614,NA,"Tier I","Tier I"
"288","review of environmental economics and policy",NA,0,8.703,23,3.081,34,3.862,0.00299,1,4.25574978681543,NA,"Tier I","Tier I"
"289","scandinavian journal of economics",NA,0,8.421,27,1.856,53,1.444,0.00428,1,4.03288281068668,NA,"Tier I","Tier I"
"290","world bank economic review",NA,0,8.378,22,1.412,73,1.431,0.00323,1,3.8715614648367,NA,"Tier I","Tier I"
"291","econometrics journal",NA,0,8.329,18,1.344,24,0.513,0.00287,1,3.0973829340633,NA,"Tier II","Tier II"
"292","american economic journal: microeconomics",NA,0,8.307,24,5.41,20,NA,NA,1,4.20692624095383,NA,"Tier I","Tier I"
"293","economic policy review",NA,0,8.153,12,NA,NA,NA,NA,NA,3.19523644909161,NA,"Tier I","Tier I"
"294","journal of financial stability",NA,0,8.063,30,1.432,30,1.946,0.00353,1,3.84396702320524,NA,"Tier I","Tier I"
"295","journal of banking and finance",NA,0,7.8,50,1.767,117,1.776,0.02273,1,4.88603316362908,NA,"Tier I","Tier I"
"296","journal of financial and quantitative analysis",NA,0,7.667,31,5.099,90,1.673,0.01246,1,4.87660297087873,NA,"Tier I","Tier I"
"297","journal of business venturing",NA,0,7.403,24,5.771,131,5.774,0.00798,NA,5.19317753150758,NA,"Tier I","Tier I"
"298","american journal of agricultural economics appendices",NA,0,7.236,10,NA,NA,NA,NA,NA,2.92497957622361,NA,"Tier II","Tier II"
"299","journal of economic theory",NA,0,7.22,33,3.266,80,1.147,0.01836,1,4.63695106548842,NA,"Tier I","Tier I"
"300","journal of accounting and economics",NA,0,7.199,22,7.662,116,3.839,0.01094,1,5.16093219770003,NA,"Tier I","Tier I"
"301","review of finance",NA,0,7.166,29,4.249,40,1.95,0.00968,1,4.50582075886326,NA,"Tier I","Tier I"
"302","journal of economic dynamics and control",NA,0,7.125,36,1.269,72,1,0.01128,1,4.13393208346084,NA,"Tier I","Tier I"
"303","european journal of political economy",NA,0,6.715,25,0.993,59,1.098,0.00356,1,3.60660731305856,NA,"Tier I","Tier I"
"304","review of world economics (weltwirtschaftliches archiv)",NA,0,6.702,23,NA,NA,NA,NA,NA,3.81462624375109,NA,"Tier I","Tier I"
"305","journal of risk and uncertainty",NA,0,6.684,20,1.4,59,1.298,0.0026,1,3.63092149665298,NA,"Tier I","Tier I"
"306","journal of comparative economics",NA,0,6.583,27,1.065,66,1.103,0.00385,1,3.71460283737428,NA,"Tier I","Tier I"
"307","current issues in economics and finance",NA,0,6.489,9,NA,NA,NA,NA,NA,2.8018518538415,NA,"Tier II","Tier II"
"308","journal of financial econometrics",NA,0,6.396,19,2.096,31,1.8,0.00305,1,3.68519137971865,NA,"Tier I","Tier I"
"309","critical finance review",NA,0,6.334,6,NA,NA,NA,NA,NA,2.48990262384701,NA,"Tier II","Tier II"
"310","theoretical economics",NA,0,6.324,18,5.511,20,1.737,0.00679,1,4.04675096265963,NA,"Tier I","Tier I"
"311","ekonomia",NA,0,6.316,2,NA,NA,NA,NA,NA,1.53283109214519,NA,"Tier III","Tier III"
"312","econometric theory",NA,0,6.283,26,2.801,56,1.011,0.00691,1,4.10324680650863,NA,"Tier I","Tier I"
"313","proceedings",NA,0,6.22,13,NA,NA,NA,NA,NA,3.14367422280132,NA,"Tier II","Tier I"
"314","'angelo costa' lectures serie",NA,0,6,2,NA,NA,NA,NA,NA,1.49321800957842,NA,"Tier III","Tier III"
"315","journal of economic inequality",NA,0,5.984,21,0.575,26,0.607,0.00191,1,2.73983319669435,NA,"Tier II","Tier II"
"316","journal of economics and management strategy",NA,0,5.958,22,1.199,56,0.912,0.00329,1,3.50676922200946,NA,"Tier I","Tier I"
"317","oxford economic papers",NA,0,5.942,23,0.844,56,NA,NA,1,3.39617613759714,NA,"Tier I","Tier I"
"318","journal of financial markets",NA,0,5.936,18,2.895,46,1.134,0.00309,1,3.75750368126019,NA,"Tier I","Tier I"
"319","journal of economic behavior and organization",NA,0,5.915,38,1.665,88,1.323,0.01708,1,4.43726503061938,NA,"Tier I","Tier I"
"320","international review of environmental and resource economics",NA,0,5.911,12,1.107,15,NA,NA,1,2.63180947506177,NA,"Tier II","Tier II"
"321","economica",NA,0,5.848,24,0.963,52,0.92,0.0029,1,3.41090040591202,NA,"Tier I","Tier I"
"322","international journal of industrial organization",NA,0,5.843,25,1.364,68,0.795,0.00568,NA,3.73170695161913,NA,"Tier I","Tier I"
"323","journal of accounting research",NA,0,5.812,20,6.172,108,3,0.0082,1,4.82705657713596,NA,"Tier I","Tier I"
"324","proceedings  economic policy symposium  jackson hole",NA,0,5.736,15,NA,NA,NA,NA,NA,3.14174828115116,NA,"Tier II","Tier I"
"325","german economic review",NA,0,5.65,18,0.616,26,0.72,0.00163,1,2.70190538293574,NA,"Tier II","Tier II"
"326","review of economics and institutions",NA,0,5.646,9,NA,NA,NA,NA,NA,2.7202358262295,NA,"Tier II","Tier II"
"327","journal of management studies",NA,0,5.643,23,5.112,136,3.962,0.0121,NA,5.03151275023243,NA,"Tier I","Tier I"
"328","canadian journal of economics",NA,0,5.558,25,0.938,56,NA,NA,1,3.48792686358403,NA,"Tier I","Tier I"
"329","journal of law and economics",NA,0,5.453,20,1.534,65,0.932,0.0044,1,3.64334725038211,NA,"Tier I","Tier I"
"333","review of income and wealth",NA,0,5.411,22,0.947,45,0.99,0.00306,1,3.33083766767206,NA,"Tier I","Tier I"
"334","journal of financial services research",NA,0,5.381,15,0.667,40,1.13,0.00133,1,2.86255761613664,NA,"Tier II","Tier II"
"335","international finance",NA,0,5.366,14,0.39,32,0.636,0.00038,1,2.14885788463319,NA,"Tier II","Tier II"
"336","journal of industrial economics",NA,0,5.36,20,1.613,64,0.963,0.00332,1,3.6116605228997,NA,"Tier I","Tier I"
"337","management science",NA,0,5.339,32,3.885,198,2.822,0.03578,NA,5.2745488202322,NA,"Tier I","Tier I"
"338","economic inquiry",NA,0,5.277,27,1.27,59,0.922,0.00749,1,3.7624410360132,NA,"Tier I","Tier I"
"339","games and economic behavior",NA,0,5.256,30,1.753,76,0.904,0.0128,1,4.10883066602046,NA,"Tier I","Tier I"
"340","international tax and public finance",NA,0,5.029,19,0.636,40,0.624,0.00249,1,2.87650418837862,NA,"Tier II","Tier II"
"341","world economy",NA,0,4.993,26,0.5,54,0.933,0.00343,1,3.19064379646204,NA,"Tier I","Tier I"
"342","iza journal of labor economics",NA,0,4.986,11,0.428,4,NA,NA,1,1.45649567744087,NA,"Tier III","Tier III"
"343","oxford review of economic policy",NA,0,4.908,18,0.691,70,1.194,0.00184,1,3.18274016081532,NA,"Tier I","Tier I"
"344","international journal of forecasting",NA,0,4.85,24,1.685,69,2.642,0.00654,NA,4.12887449349357,NA,"Tier I","Tier I"
"345","journal of macroeconomics",NA,0,4.788,24,0.675,34,0.791,0.00298,1,3.04718616294486,NA,"Tier II","Tier II"
"346","economics of education review",NA,0,4.747,23,1.535,62,1.456,0.00743,1,3.88341204716401,NA,"Tier I","Tier I"
"347","review of international economics",NA,0,4.701,26,0.739,46,1.06,0.00218,NA,3.23523356107768,NA,"Tier I","Tier I"
"348","journal of human capital",NA,0,4.675,14,0.773,12,0.645,0.00076,1,2.21792236256902,NA,"Tier II","Tier II"
"349","econometric reviews",NA,0,4.672,18,1.558,35,1.333,0.00352,1,3.43442801008797,NA,"Tier I","Tier I"
"350","research bulletin",NA,0,4.576,4,NA,NA,NA,NA,NA,1.90438374661482,NA,"Tier II","Tier II"
"351","economic theory",NA,0,4.564,23,1.722,46,1.182,0.00688,1,3.75268752992776,NA,"Tier I","Tier I"
"352","kyklos",NA,0,4.562,16,1.033,48,0.891,0.00131,1,3.00644551995788,NA,"Tier II","Tier II"
"353","journal of empirical finance",NA,0,4.56,24,0.848,60,0.979,0.00327,1,3.37808030368849,NA,"Tier I","Tier I"
"354","financial management",NA,0,4.533,15,1.506,52,1.517,0.0023,1,3.4092499473735,NA,"Tier I","Tier I"
"355","journal of economic psychology",NA,0,4.519,25,1.105,71,1.275,0.00652,1,3.75593700202759,NA,"Tier I","Tier I"
"359","journal of african economies",NA,0,4.476,17,0.75,33,0.905,0.00153,1,2.82023985872922,NA,"Tier II","Tier II"
"360","foundations and trends(r) in entrepreneurship",NA,0,4.385,7,NA,NA,NA,NA,NA,2.49696794782907,NA,"Tier II","Tier II"
"361","oecd journal: economic studies",NA,0,4.381,9,0.14,7,NA,NA,1,0.735146314177162,NA,"Tier III","Tier III"
"362","emerging markets review",NA,0,4.381,17,1.303,35,2.065,0.00168,1,3.3110163320016,NA,"Tier I","Tier I"
"363","economic geography",NA,0,4.318,16,2.696,67,5.344,0.00235,1,4.10727254519458,NA,"Tier I","Tier I"
"364","journal of international financial markets",NA,0,4.289,23,NA,NA,NA,NA,NA,3.49573155218005,NA,"Tier I","Tier I"
"365","cesifo economic studies",NA,0,4.26,15,0.688,21,0.643,0.00139,1,2.45977304386863,NA,"Tier II","Tier II"
"366","finance and stochastics",NA,0,4.25,15,2.193,34,1.55,0.00325,1,3.48252061315714,NA,"Tier I","Tier I"
"367","cambridge journal of economics",NA,0,4.191,23,0.996,65,1.338,0.00323,1,3.5136990434457,NA,"Tier I","Tier I"
"368","open economies review",NA,0,4.126,18,0.765,25,0.84,0.00132,1,2.69899738246324,NA,"Tier II","Tier II"
"369","federal reserve bulletin",NA,0,4.096,5,NA,NA,NA,NA,NA,1.91792833946514,NA,"Tier II","Tier II"
"370","be journal of macroeconomics",NA,0,4.033,16,0.312,13,NA,NA,1,1.8253080808481,NA,"Tier II","Tier II"
"371","journal of regional science",NA,0,4.011,23,1.331,59,1.743,0.00331,NA,3.66990001130224,NA,"Tier I","Tier I"
"372","iium journal of economics and management",NA,0,4,1,NA,NA,NA,NA,NA,0.672230320765661,NA,"Tier III","Tier III"
"373","economia journal",NA,0,3.989,11,NA,NA,NA,NA,NA,2.74265443056235,NA,"Tier II","Tier II"
"376","journal of housing economics",NA,0,3.98,14,1.079,39,1.069,0.00175,1,2.96953735644373,NA,"Tier II","Tier II"
"377","macroeconomic dynamics",NA,0,3.955,20,1.271,37,0.718,0.00304,1,3.16660173075453,NA,"Tier I","Tier I"
"378","spatial economic analysis",NA,0,3.903,12,0.697,20,1.375,0.00097,1,2.47986391394218,NA,"Tier II","Tier II"
"379","economic systems",NA,0,3.895,16,0.403,27,1.197,0.00092,1,2.43405585391826,NA,"Tier II","Tier II"
"380","economics of transition",NA,0,3.885,14,0.389,42,0.479,0.00083,1,2.20655206127501,NA,"Tier II","Tier II"
"381","journal of regulatory economics",NA,0,3.884,15,1.046,44,0.909,0.00141,1,2.93195254878298,NA,"Tier II","Tier II"
"382","review of network economics",NA,0,3.868,11,0.515,11,0.5,0.00045,1,1.69723007585964,NA,"Tier II","Tier II"
"383","fiscal studies",NA,0,3.86,12,0.827,31,1.044,0.00107,1,2.61670881272637,NA,"Tier II","Tier II"
"384","real estate economics",NA,0,3.85,15,1.476,49,0.758,0.00264,1,3.16266301647582,NA,"Tier I","Tier I"
"385","american political science review",NA,0,3.816,22,7.268,140,3.316,0.02128,NA,5.10879932164595,NA,"Tier I","Tier I"
"386","de economist",NA,0,3.763,15,0.36,23,NA,NA,1,2.02960903715679,NA,"Tier II","Tier II"
"387","foundations and trends(r) in microeconomics",NA,0,3.741,5,NA,NA,NA,NA,NA,1.8807022657409,NA,"Tier II","Tier II"
"388","journal of risk and insurance",NA,0,3.722,16,1.34,49,1.343,0.0027,1,3.31580984041336,NA,"Tier I","Tier I"
"389","oecd journal: journal of business cycle measurement and analysis",NA,0,3.713,9,0.139,2,NA,NA,NA,0.33070713201048,NA,"Tier III","Tier III"
"390","journal of accounting and public policy",NA,0,3.708,9,1.53,53,1.333,0.00135,NA,2.99753742743322,NA,"Tier II","Tier II"
"391","journal of international management",NA,0,3.684,13,1.849,53,2.6,0.00155,1,3.46064662967768,NA,"Tier I","Tier I"
"392","be journal of economic analysis and policy",NA,0,3.656,23,0.33,26,NA,NA,1,2.29958809943762,NA,"Tier II","Tier II"
"393","public choice",NA,0,3.582,26,1.184,60,0.788,0.00625,1,3.54015893809614,NA,"Tier I","Tier I"
"394","review",NA,0,3.566,14,0.102,15,NA,NA,NA,1.1744496764748,NA,"Tier III","Tier III"
"395","structural change and economic dynamics",NA,0,3.556,14,0.608,35,0.471,0.00104,1,2.34236818266287,NA,"Tier II","Tier II"
"396","journal of globalization and development",NA,0,3.519,10,NA,NA,NA,NA,NA,2.61289177743917,NA,"Tier II","Tier II"
"397","journal of transport economics and policy",NA,0,3.503,10,0.555,45,0.935,0.00092,1,2.40179084132629,NA,"Tier II","Tier II"
"398","international journal of finance and economics",NA,0,3.487,12,0.337,32,0.511,0.00058,1,1.91954731604379,NA,"Tier II","Tier II"
"399","journal of the royal statistical society series b",NA,0,3.473,16,NA,NA,NA,NA,NA,2.98097692609917,NA,"Tier II","Tier II"
"400","economics of energy and environmental policy",NA,0,3.46,11,0.322,6,1.297,0.00116,1,1.74812100641187,NA,"Tier II","Tier II"
"401","iza journal of labor policy",NA,0,3.451,12,0.182,4,NA,NA,1,0.925287002747922,NA,"Tier III","Tier III"
"402","papers in regional science",NA,0,3.443,18,0.902,49,1.272,0.00234,NA,3.14892387055241,NA,"Tier II","Tier I"
"403","journal of the japanese and international economies",NA,0,3.418,12,0.33,33,0.542,0.00083,1,1.99859423138535,NA,"Tier II","Tier II"
"404","information economics and policy",NA,0,3.4,13,0.711,41,0.739,0.00147,1,2.60255414401324,NA,"Tier II","Tier II"
"405","explorations in economic history",NA,0,3.38,13,1.186,33,0.979,0.00231,1,2.90445549095908,NA,"Tier II","Tier II"
"406","iza journal of european labor studies",NA,0,3.367,9,0.2,4,NA,NA,1,0.762784751989685,NA,"Tier III","Tier III"
"407","monetary and economic studies",NA,0,3.359,8,NA,NA,NA,NA,NA,2.42345182361956,NA,"Tier II","Tier II"
"408","demography",NA,0,3.355,18,2.979,102,2.802,0.01311,NA,4.39129239560791,NA,"Tier I","Tier I"
"409","journal of forecasting",NA,0,3.297,14,0.615,45,0.747,0.00176,NA,2.63529255275816,NA,"Tier II","Tier II"
