"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag"
"366","review of income and wealth",NA,0,"5.411","22","0.947","45","0.99","0.00306","1"
"367","journal of financial services research",NA,0,"5.381","15","0.667","40","1.13","0.00133","1"
"368","international finance",NA,0,"5.366","14","0.39","32","0.636","0.00038","1"
"369","journal of industrial economics",NA,0,"5.36","20","1.613","64","0.963","0.00332","1"
"370","management science",NA,0,"5.339","32","3.885","198","2.822","0.03578",NA
"371","economic inquiry",NA,0,"5.277","27","1.27","59","0.922","0.00749","1"
"372","games and economic behavior",NA,0,"5.256","30","1.753","76","0.904","0.0128","1"
"373","international tax and public finance",NA,0,"5.029","19","0.636","40","0.624","0.00249","1"
"374","world economy",NA,0,"4.993","26","0.5","54","0.933","0.00343","1"
"375","iza journal of labor economics",NA,0,"4.986","11","0.428","4",NA,NA,"1"
"376","oxford review of economic policy",NA,0,"4.908","18","0.691","70","1.194","0.00184","1"
"377","international journal of forecasting",NA,0,"4.85","24","1.685","69","2.642","0.00654",NA
"378","journal of macroeconomics",NA,0,"4.788","24","0.675","34","0.791","0.00298","1"
"379","economics of education review",NA,0,"4.747","23","1.535","62","1.456","0.00743","1"
"380","review of international economics",NA,0,"4.701","26","0.739","46","1.06","0.00218",NA
"381","journal of human capital",NA,0,"4.675","14","0.773","12","0.645","0.00076","1"
"382","econometric reviews",NA,0,"4.672","18","1.558","35","1.333","0.00352","1"
"383","research bulletin",NA,0,"4.576","4",NA,NA,NA,NA,NA
"384","economic theory",NA,0,"4.564","23","1.722","46","1.182","0.00688","1"
"385","kyklos",NA,0,"4.562","16","1.033","48","0.891","0.00131","1"
"386","journal of empirical finance",NA,0,"4.56","24","0.848","60","0.979","0.00327","1"
"387","financial management",NA,0,"4.533","15","1.506","52","1.517","0.0023","1"
"388","journal of economic psychology",NA,0,"4.519","25","1.105","71","1.275","0.00652","1"
"389","economic review",NA,0,"4.5","11",NA,NA,NA,NA,NA
"390","economic review",NA,0,"4.5","3",NA,NA,NA,NA,NA
"391","economic review",NA,0,"4.5","2",NA,NA,NA,NA,NA
"392","journal of african economies",NA,0,"4.476","17","0.75","33","0.905","0.00153","1"
"393","foundations and trends(r) in entrepreneurship",NA,0,"4.385","7",NA,NA,NA,NA,NA
"394","oecd journal: economic studies",NA,0,"4.381","9","0.14","7",NA,NA,"1"
"395","emerging markets review",NA,0,"4.381","17","1.303","35","2.065","0.00168","1"
"396","economic geography",NA,0,"4.318","16","2.696","67","5.344","0.00235","1"
"397","journal of international financial markets",NA,0,"4.289","23",NA,NA,NA,NA,NA
"398","cesifo economic studies",NA,0,"4.26","15","0.688","21","0.643","0.00139","1"
"399","finance and stochastics",NA,0,"4.25","15","2.193","34","1.55","0.00325","1"
"400","cambridge journal of economics",NA,0,"4.191","23","0.996","65","1.338","0.00323","1"
"401","open economies review",NA,0,"4.126","18","0.765","25","0.84","0.00132","1"
"402","federal reserve bulletin",NA,0,"4.096","5",NA,NA,NA,NA,NA
"403","be journal of macroeconomics",NA,0,"4.033","16","0.312","13",NA,NA,"1"
"404","journal of regional science",NA,0,"4.011","23","1.331","59","1.743","0.00331",NA
"405","iium journal of economics and management",NA,0,"4","1",NA,NA,NA,NA,NA
"406","economia journal",NA,0,"3.989","11",NA,NA,NA,NA,NA
"407","journal of law",NA,0,"3.985","14",NA,NA,NA,NA,NA
"408","journal of law",NA,0,"3.985","1",NA,NA,NA,NA,NA
"409","journal of housing economics",NA,0,"3.98","14","1.079","39","1.069","0.00175","1"
"410","macroeconomic dynamics",NA,0,"3.955","20","1.271","37","0.718","0.00304","1"
"411","spatial economic analysis",NA,0,"3.903","12","0.697","20","1.375","0.00097","1"
"412","economic systems",NA,0,"3.895","16","0.403","27","1.197","0.00092","1"
"413","economics of transition",NA,0,"3.885","14","0.389","42","0.479","0.00083","1"
"414","journal of regulatory economics",NA,0,"3.884","15","1.046","44","0.909","0.00141","1"
"415","review of network economics",NA,0,"3.868","11","0.515","11","0.5","0.00045","1"
"416","fiscal studies",NA,0,"3.86","12","0.827","31","1.044","0.00107","1"
"417","real estate economics",NA,0,"3.85","15","1.476","49","0.758","0.00264","1"
"418","american political science review",NA,0,"3.816","22","7.268","140","3.316","0.02128",NA
"419","de economist",NA,0,"3.763","15","0.36","23",NA,NA,"1"
"420","foundations and trends(r) in microeconomics",NA,0,"3.741","5",NA,NA,NA,NA,NA
"421","journal of risk and insurance",NA,0,"3.722","16","1.34","49","1.343","0.0027","1"
"422","oecd journal: journal of business cycle measurement and analysis",NA,0,"3.713","9","0.139","2",NA,NA,NA
"423","journal of accounting and public policy",NA,0,"3.708","9","1.53","53","1.333","0.00135",NA
"424","journal of international management",NA,0,"3.684","13","1.849","53","2.6","0.00155","1"
"425","be journal of economic analysis and policy",NA,0,"3.656","23","0.33","26",NA,NA,"1"
"426","public choice",NA,0,"3.582","26","1.184","60","0.788","0.00625","1"
"427","review",NA,0,"3.566","14","0.102","15",NA,NA,NA
"428","structural change and economic dynamics",NA,0,"3.556","14","0.608","35","0.471","0.00104","1"
"429","journal of globalization and development",NA,0,"3.519","10",NA,NA,NA,NA,NA
"430","journal of transport economics and policy",NA,0,"3.503","10","0.555","45","0.935","0.00092","1"
"431","international journal of finance and economics",NA,0,"3.487","12","0.337","32","0.511","0.00058","1"
"432","journal of the royal statistical society series b",NA,0,"3.473","16",NA,NA,NA,NA,NA
"433","economics of energy and environmental policy",NA,0,"3.46","11","0.322","6","1.297","0.00116","1"
"434","iza journal of labor policy",NA,0,"3.451","12","0.182","4",NA,NA,"1"
"435","papers in regional science",NA,0,"3.443","18","0.902","49","1.272","0.00234",NA
"436","journal of the japanese and international economies",NA,0,"3.418","12","0.33","33","0.542","0.00083","1"
"437","information economics and policy",NA,0,"3.4","13","0.711","41","0.739","0.00147","1"
"438","explorations in economic history",NA,0,"3.38","13","1.186","33","0.979","0.00231","1"
"439","iza journal of european labor studies",NA,0,"3.367","9","0.2","4",NA,NA,"1"
"440","monetary and economic studies",NA,0,"3.359","8",NA,NA,NA,NA,NA
"441","demography",NA,0,"3.355","18","2.979","102","2.802","0.01311",NA
"442","journal of forecasting",NA,0,"3.297","14","0.615","45","0.747","0.00176",NA
"443","journal of corporate finance",NA,0,"3.212","21","1.388","71","1.579","0.00677","1"
"444","cd howe institute backgrounder",NA,0,"3.2","6",NA,NA,NA,NA,NA
"445","iza journal of labor and development",NA,0,"3.198","9","0.182","3",NA,NA,"1"
"446","applied economics quarterly (formerly: konjunkturpolitik)",NA,0,"3.161","10",NA,NA,NA,NA,NA
"447","journal of public economic theory",NA,0,"3.16","14","0.609","26","0.548","0.00121","1"
"448","oecd journal: financial market trends",NA,0,"3.146","8",NA,NA,NA,NA,NA
"449","jode  journal of demographic economics",NA,0,"3.146","5",NA,NA,NA,NA,NA
"450","series: journal of the spanish economic association",NA,0,"3.14","10",NA,NA,NA,NA,NA
"451","finanzarchiv: public finance analysis",NA,0,"3.123","12",NA,NA,NA,NA,NA
"452","european review of economic history",NA,0,"3.103","10","0.64","25","0.814","0.00109","1"
"453","economics of transportation",NA,0,"3.097","8","1.152","9",NA,NA,"1"
"454","labour",NA,0,"3.092","12","0.145","25",NA,NA,NA
"455","manchester school",NA,0,"3.083","15","0.426","32","0.615","0.00115","1"
"456","review of development economics",NA,0,"3.081","18","0.405","40","0.459","0.0012",NA
"457","finnish economic papers",NA,0,"3.079","3",NA,NA,NA,NA,NA
"458","economics and politics",NA,0,"3.075","11","0.659","34","0.744","0.00107","1"
"459","financial review",NA,0,"3.068","10","1.414","10",NA,NA,"1"
"460","journal economía chilena (the chilean economy)",NA,0,"3.048","9",NA,NA,NA,NA,NA
"461","economic modelling",NA,0,"3.029","29","0.959","45","1.463","0.01001","1"
"462","journal of evolutionary economics",NA,0,"3.022","15","0.748","56","0.862","0.00125","1"
"463","scottish journal of political economy",NA,0,"3.008","12","0.311","41","0.648","0.00067","1"
"464","economic review",NA,0,"3.008","11",NA,NA,NA,NA,NA
"465","economic review",NA,0,"3.008","3",NA,NA,NA,NA,NA
"466","economic review",NA,0,"3.008","2",NA,NA,NA,NA,NA
"467","programa de investigacion de economia del conocimiento",NA,0,"3","1",NA,NA,NA,NA,NA
"468","research digest",NA,0,"3","1",NA,NA,NA,NA,NA
"469","foundations and trends(r) in finance",NA,0,"3","5",NA,NA,NA,NA,NA
"470","marketing science",NA,0,"2.991","17","4.261","102","2.163","0.00935","1"
"471","ilr review",NA,0,"2.969","18",NA,NA,"1.419","0.0032",NA
"472","metroeconomica",NA,0,"2.955","13","0.575","9","0.475","7e-04","1"
"473","oecd journal: competition law and policy",NA,0,"2.95","5",NA,NA,NA,NA,NA
"474","omega",NA,0,"2.945","18","3.674","102",NA,NA,NA
"475","czech journal of economics and finance (finance a uver)",NA,0,"2.94","12",NA,NA,NA,NA,NA
"476","review of economics of the household",NA,0,"2.925","15","0.77","22","0.972","0.00101","1"
"477","education finance and policy",NA,0,"2.908","11","2.157","12","1.316","0.00214",NA
"478","environment and development economics",NA,0,"2.881","13","0.698","48","0.932","0.00141","1"
"479","journal of economics and business",NA,0,"2.859","14","0.436","40",NA,NA,"1"
"480","accounting",NA,0,"2.833","12",NA,NA,NA,NA,NA
"481","accounting",NA,0,"2.833","8",NA,NA,NA,NA,NA
"482","accounting",NA,0,"2.833","4",NA,NA,NA,NA,NA
"483","schmollers jahrbuch : journal of applied social science studies / zeitschrift für wirtschafts und sozialwissenschaften",NA,0,"2.817","11",NA,NA,NA,NA,NA
"484","quarterly journal of political science",NA,0,"2.754","8","3.794","24","1.839","0.0034",NA
"485","journal of world business",NA,0,"2.752","14","1.974","80","3.758","0.00367","1"
"486","journal of the american statistical association",NA,0,"2.733","21","2.869","147","2.016","0.03343",NA
"487","cliometrica",NA,0,"2.72","7","0.31","14","1.192","0.00052","1"
"488","journal of econometric methods",NA,0,"2.697","7",NA,NA,NA,NA,NA
"489","industry and innovation",NA,0,"2.696","13","0.66","45","0.791","0.00111",NA
"490","sbp research bulletin",NA,0,"2.686","5",NA,NA,NA,NA,NA
"491","bank of england quarterly bulletin",NA,0,"2.642","12",NA,NA,NA,NA,NA
"492","quantitative marketing and economics (qme)",NA,0,"2.606","12",NA,NA,NA,NA,NA
"493","empirica",NA,0,"2.57","12","0.364","22","0.658","5e-04",NA
"494","giornale degli economisti",NA,0,"2.561","6",NA,NA,NA,NA,NA
"495","journal of time series econometrics",NA,0,"2.555","8",NA,NA,NA,NA,NA
"496","quarterly review of economics and finance",NA,0,"2.553","16","0.429","38",NA,NA,"1"
"497","political analysis",NA,0,"2.54","14","4.179","50","3.361","0.01098",NA
"498","renewable and sustainable energy reviews",NA,0,"2.533","35","3.051","176","8.05","0.08973",NA
"499","economie internationale",NA,0,"2.524","4","0.126","11",NA,NA,"1"
"500","pacific economic review",NA,0,"2.519","14","0.381","26","0.647","0.00061",NA
"501","asian development review",NA,0,"2.517","8","0.238","17",NA,NA,NA
"502","international review of financial analysis",NA,0,"2.509","17","0.789","35","1.457","0.00239","1"
"503","journal of pension economics and finance",NA,0,"2.506","14","0.653","11","0.575","0.00115","1"
"504","american law and economics review",NA,0,"2.504","9","0.908","25","0.75","0.00171","1"
"505","journal of economic interaction and coordination",NA,0,"2.487","9","0.414","15","0.931","3e-04","1"
"506","journal of policy analysis and management",NA,0,"2.468","18","2.148","64","3.415","0.00632",NA
"507","research in economics",NA,0,"2.427","12","0.438","20",NA,NA,"1"
"508","economic perspectives",NA,0,"2.418","7",NA,NA,NA,NA,NA
"509","international journal of applied econometrics and quantitative studies",NA,0,"2.417","3",NA,NA,NA,NA,NA
"510","economic policy экономическая политика",NA,0,"2.403","9",NA,NA,NA,NA,NA
"511","world bank  economic premise",NA,0,"2.402","9",NA,NA,NA,NA,NA
"512","journal of behavioral and experimental economics (formerly the journal of socioeconomics)",NA,0,"2.391","15",NA,NA,NA,NA,NA
"513","economics  the openaccess",NA,0,"2.39","13",NA,NA,NA,NA,NA
"514","north american journal of economics and finance",NA,0,"2.378","13","0.525","27","0.876","0.00109","1"
"515","international economics",NA,0,"2.373","12","0.455","5",NA,NA,"1"
"516","international economics",NA,0,"2.373","1","0.455","5",NA,NA,"1"
"517","population and development review",NA,0,"2.371","15","1.947","74","2.792","0.00457",NA
"518","international review of applied economics",NA,0,"2.369","15","0.4","29",NA,NA,"1"
"519","theory and decision",NA,0,"2.366","16","0.53","28","0.606","0.00236","1"
"520","journal of african business",NA,0,"2.358","7","0.45","16",NA,NA,NA
"521","financial stability review",NA,0,"2.348","9",NA,NA,NA,NA,NA
"522","financial stability review",NA,0,"2.348","3",NA,NA,NA,NA,NA
"523","algorithmic finance",NA,0,"2.347","3","0.222","5",NA,NA,"1"
"524","bank of canada review",NA,0,"2.34","7",NA,NA,NA,NA,NA
"525","review of financial economics",NA,0,"2.336","11","0.499","31",NA,NA,"1"
"526","journal of real estate finance and economics",NA,0,"2.327","15","1.037","51","0.828","0.00233","1"
"527","iza journal of migration",NA,0,"2.32","9","0.221","4",NA,NA,NA
"528","journal of banking and financial economics",NA,0,"2.312","5",NA,NA,NA,NA,NA
"529","transportation research part b: methodological",NA,0,"2.308","19","2.742","98",NA,NA,NA
"530","international review of finance",NA,0,"2.3","11","0.423","10","0.558","0.00081","1"
"531","economic and social review",NA,0,"2.299","11","0.407","20","0.771","0.00062","1"
"532","annals of economics and statistics",NA,0,"2.286","12",NA,NA,NA,NA,NA
"533","panoeconomicus",NA,0,"2.278","8","0.349","11","0.444","0.00024","1"
"534","international review of economics and finance",NA,0,"2.269","19","0.71","35","1.261","0.00234","1"
"535","social choice and welfare",NA,0,"2.247","14","0.729","39","0.609","0.00332","1"
"536","eurasian business review",NA,0,"2.234","9",NA,NA,NA,NA,NA
"537","canadian journal of agricultural economics/revue canadienne d'agroeconomie",NA,0,"2.194","11",NA,NA,NA,NA,NA
"538","european journal of finance",NA,0,"2.193","13","0.522","23","0.795","0.00132","1"
"539","transportation research part e: logistics and transportation review",NA,0,"2.191","15","1.694","78",NA,NA,NA
"540","journal of mathematical economics",NA,0,"2.187","15","0.739","33","0.597","0.00354","1"
"541","european journal of comparative economics",NA,0,"2.184","8",NA,NA,NA,NA,NA
"542","journal of industry",NA,0,"2.179","11",NA,NA,NA,NA,NA
"543","international organization",NA,0,"2.175","10","5.655","115","3.406","0.00707",NA
"544","south african journal of economics",NA,0,"2.171","10","0.412","22","0.685","0.00045","1"
"545","international business review",NA,0,"2.169","14","1.193","69","2.476","0.00331","1"
"546","journal of business finance and accounting",NA,0,"2.16","12","1.067","57","1.276","0.00164","1"
"547","asian economic papers",NA,0,"2.149","8","0.273","10","0.535","0.00032","1"
"548","transportation",NA,0,"2.147","13","1.587","60","2.633","0.00446",NA
"549","economic change and restructuring",NA,0,"2.14","8","0.423","13",NA,NA,"1"
"550","international journal of microsimulation",NA,0,"2.134","9","0.103","1",NA,NA,NA
"551","oxford development studies",NA,0,"2.128","9","0.507","37",NA,NA,NA
"552","review of economic design",NA,0,"2.111","9","0.227","20","0.161","0.00066","1"
"553","quantitative finance",NA,0,"2.103","21","0.608","42","0.96","0.00483","1"
"554","international economics and economic policy",NA,0,"2.09","12","0.296","17",NA,NA,"1"
